"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22266","Verify Forgot Functionality","chromium","2026-04-14","failed","2026-04-14","","LoginTest.spec.ts","",""
"","21526","Verify To Add Duplicate Employee ID","chromium","2026-04-14","passed","2026-04-14","","PIMTest.spec.ts","",""
"","8582","Verify to Validate Mandatory Fields","chromium","2026-04-14","passed","2026-04-14","","PIMTest.spec.ts","",""
"","21498","Verify To Add New Employee Without LoginDetails","chromium","2026-04-14","passed","2026-04-14","","PIMTest.spec.ts","",""
"","11379","Authentication User","setup","2026-04-14","passed","2026-04-14","","auth.setup.ts","",""
"","15624","Validation Check for Manadatory Fields","chromium","2026-04-14","failed","2026-04-14","","LoginTest.spec.ts","",""
"","10067","Authentication User","chromium","2026-04-05","failed","2026-04-05","","auth.setup.spec.ts","",""
"","8579","Search By Employee Name","chromium","2026-04-14","passed","2026-04-14","","PIMTest.spec.ts","",""
"","60182","Authentication User","setup","2026-04-05","broken","2026-04-05","","auth.setup.spec.ts","",""
"","2","Serach From Table","chromium","2026-04-14","skipped","2026-04-14","","PIMTest.spec.ts","",""
"","60278","Verify Login With Valid Credential","chromium","2026-04-14","broken","2026-04-14","","LoginTest.spec.ts","",""
"","13662","Search By EmployeeName","chromium","2026-04-14","passed","2026-04-14","","AdminTest.spec.ts","",""
"","60218","Verify Login With InValid Credential","chromium","2026-04-14","broken","2026-04-14","","LoginTest.spec.ts","",""
"","32196","Verify To Add PersonalDetails","chromium","2026-04-14","passed","2026-04-14","","PIMTest.spec.ts","",""
"","60562","Add New User","chromium","2026-04-14","broken","2026-04-14","","AdminTest.spec.ts","",""
